"지점","주소","층","최대인원","공용시설"
"강남점","서울 서초구 강남대로 327","대륭서초타워 16층","최대 600인","공용시설 명시"
"강남2호점","서울 서초구 서초대로 396","강남빌딩 2층","","공용시설 명시"
"강남3호점","서울 강남구 테헤란로 123","여삼빌딩 5층","","공용시설 명시"
"강남4호점","서울 서초구 서초대로77길 17","BLOCK77 11층","최대 18인","공용시설 명시"
"강남5호점","서울 강남구 테헤란로7길 22","한국과학기술회관 2관 9층","최대 35인","공용시설 명시"
"강남6호점","서울 강남구 강남대로 374","케이스퀘어 강남2 B2층","","공용시설 명시"
"역삼점","서울 강남구 테헤란로 201","아주빌딩 2층","최대 70인","공용시설 명시"
"역삼2호점","서울 강남구 논현로98길 28","시티빌딩 1층","","공용시설 명시"
"역삼3호점","서울 강남구 테헤란로27길 18","삼정빌딩 2층","최대 22인","공용시설 명시"
"방배점","서울 서초구 방배로 180","유중문화재단 1층","최대 20인","공용시설 명시"
"신논현점","서울 강남구 봉은사로 125","리스트빌딩 2층","","공용시설 명시"
"선릉점","서울 강남구 테헤란로 415","L7 HOTEL 강남타워 2층","최대 80인","공용시설 명시"
"선릉2호점","서울 강남구 테헤란로 418","다봉타워빌딩 11층","","공용시설 명시"
"선릉3호점","서울 강남구 선릉로93길 40","나라키움 역삼A빌딩 1층","최대 80인","공용시설 명시"
"삼성점","서울 강남구 테헤란로87길 29","M타워 8층","최대 30인","공용시설 명시"
"삼성2호점","서울 강남구 영동대로85길 34","대치2차 아이파크 2층","","공용시설 명시"
"잠실점","서울 송파구 올림픽로 240 ","롯데웰빙센터 1층","","공용시설 명시"
"강동점","서울 강동구 진황도로 90","강동 엠파이어빌딩 9층","",""
"코엑스점","서울 강남구 봉은사로 524","웨스틴 서울 파르나스 B2층","",""
"여의도점","서울 영등포구 여의대로 108","파크원타워1 4층","","공용시설 명시"
"성수점","서울 성동구 연무장15길 11","에스팩토리 B동 2층","최대 24인","공용시설 명시"
"성수2호점","서울 성동구 아차산로 38","개풍빌딩 2층 04779","","공용시설 명시"
"을지로점","서울 중구 을지로 50","을지한국빌딩 17층","","공용시설 명시"
"시청점","서울 중구 남대문로9길 40","23층","","공용시설 명시"
"광화문점","서울 종로구 종로3길 17","D타워 B1층 (라운지 B2층)","","공용시설 명시"
"을지로센터원점","서울 중구 을지로5길 26","미래에셋 센터원 빌딩 동관 2층","","공용시설 명시"
"동대문점","서울 중구 을지로 264","dundun 12층","","공용시설 명시"
"홍대점","서울 마포구 양화로 186","LC타워 6층","","공용시설 명시"
"홍대2호점","서울 마포구 양화로 178-5","LC타워(별관)","",""
"분당점","경기 성남시 분당구 정자로 2","푸르지오시티 1층","","공용시설 명시"
"분당2호점","경기 성남시 분당구 황새울로 216","휴맥스빌리지 2층","","공용시설 명시"
"분당3호점","경기 성남시 분당구 황새울로214번길 8","MS프라자 9층","최대 10인","공용시설 명시"
"서울로점","서울 중구 퇴계로 15","에너지플러스 5~12F","","공용시설 명시"
"오피스B 동대문공원점","서울 중구 퇴계로 325-9","코스모타워 3~7층","",""
"오피스B 선릉1호점","서울시 강남구 삼성로85길 30","2~9층 ","",""
"오피스B 역삼2호점","서울 강남구 테헤란로38길 8","-","",""
"오피스B 역삼1호점","서울 강남구 봉은사로30길 76","","",""
